Unnamed: 0,country,code,confirmed,recovered,critical,deaths,lastChange,lastUpdate
234,USA,US,111820082,109814428,940,1219487,2024-06-04T00:17:41+00:00,2024-08-09T09:13:41+00:00
48,Colombia,CO,6400173,6212152,342,143200,2024-06-04T00:24:23+00:00,2024-08-09T09:13:41+00:00
209,Spain,ES,13914811,13762417,231,121760,2024-06-04T00:21:38+00:00,2024-08-09T09:13:41+00:00
26,Bolivia,BO,1212131,1177145,220,22407,2024-06-04T00:20:03+00:00,2024-08-09T09:13:41+00:00
206,South Africa,ZA,4076463,3912506,192,102595,2024-02-11T22:15:25+00:00,2024-08-09T09:13:41+00:00
121,Kyrgyzstan,KG,206897,196406,131,2991,2024-02-11T22:11:20+00:00,2024-08-09T09:13:41+00:00
65,Egypt,EG,516023,442182,122,24801,2024-02-11T22:10:02+00:00,2024-08-09T09:13:41+00:00
40,Canada,CA,4946090,4881312,99,59034,2024-06-04T00:25:39+00:00,2024-08-09T09:13:41+00:00
124,Lebanon,LB,1243838,1087587,74,10952,2024-02-11T22:15:07+00:00,2024-08-09T09:13:41+00:00
178,Portugal,PT,5643062,5614809,61,28126,2024-06-04T00:25:39+00:00,2024-08-09T09:13:41+00:00
